ID,Category,Aircraft,System,SubSystem,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Reference,Difficulty,Tags,TimesSeen,TimesCorrect,TimesWrong,LastSeen,LastCorrect,UserFlag
1,Type Rating,A330,Limitations/Performance,Limitations,The maximum zero fuel weight is:,"- 180,000 kg .","- 170,000 kg .","- 177,000 kg .",- Depending on variant and MSN .,D,,,,"limitations,performance",0,0,0,,,
2,Type Rating,A330,Air Systems,Bleed/Pneumatics,With engines and APU running and APU BLEED selected ON:,"- Engine bleed valves close, X -BLEED valve opens, APU bleed valve opens .","- Engine bleed valves close, X -BLEED valve closes, APU bleed valve opens .","- Engine bleed valves open, X -BLEED valve opens, APU bleed valve closes .","- Engine bleed valves open, X -BLEED valve closes, APU bleed valve opens .",A,,,,"bleed,pneumatic",0,0,0,,,
3,Type Rating,A330,Navigation,Nav/Surveillance,The Marker Beacon receives information from:,- ADF 1 .,- VOR 2 .,- ADF 2 .,- VOR 1 .,D,,,,nav,0,0,0,,,
4,Type Rating,A330,Communications,Radio,"If VHF 1 is selected on RMP 2, the SEL light illuminates’ amber on:",- RMP1 and RMP2 .,- RMP 1 only .,"- RMPs1, 2 and 3 .",- RMP 2 only .,A,,,,comms,0,0,0,,,
5,Type Rating,A330,Hydraulics,Hydraulic Systems,How many priority valve(s) is/are in the A330 hydraulic 2  system?,1 in BLUE.,1 in GREEN.,1 in each BLUE and YELLOW.,"1 in each GREEN, BLUE and YELLOW .",B,,,,hydraulics,0,0,0,,,
6,Type Rating,A330,Fuel,Fuel System,Is forward transfer of trim tank fuel by gravity possible?,"- Yes, at any time in flight .","- Yes, but only when the wing tanks are full.",- No.,"- Yes, but only when the aircraft pitch attitude is less than 3.4º .",D,,,,fuel,0,0,0,,,
7,Type Rating,A330,Brakes,Braking,Maximum brake temperature for take -off is:,300°C .,150ºC .,350ºC .,100ºC .,A,,,,"brakes,antiskid",0,0,0,,,
8,Type Rating,A330,Landing Gear,Gear & NWS,What is the nose wheel steering angle limit?,60º .,75º .,78º .,72º.,D,,,,"landinggear,nws",0,0,0,,,
9,Type Rating,A330,Electrical,Power Supply,"With the EMER EXIT LT switch in the ARM position, the overhead emergency lights illuminate:",If DC BUS 2 fails .,If AC BUS 2 fails .,If AC ESS BUS fails .,"If AC BUS 1 or DC ESS BUS fails, or normal aircraft   electrical power 3  fails .",D,,,,electrical,0,0,0,,,
10,Type Rating,A330,Doors/Emergency,Cabin Safety,The A330 has:,Two cargo doors .,Three cargo doors .,Five cargo doors .,Four cargo doors .,B,,,,"doors,emergency",0,0,0,,,
11,Type Rating,A330,Hydraulics,Hydraulic Systems,The annotation of an (o) below the table on the page of the MEL item entry indicates:,Operations require you to fix it .,The MEL item can be ignored .,That appropriate  operation procedure is required .,Operations need to be called .,C,,,,hydraulics,0,0,0,,,
12,Type Rating,A330,Limitations/Performance,Limitations,Maximum demonstrated landing crosswind:,35 k ts.,38 k ts.,40 k ts.,4 5 kts.,D,,,,"limitations,performance",0,0,0,,,
13,Type Rating,A330,Limitations/Performance,Limitations,Maximum speed for L/G operation (VLO):,250 k ts.,280 k ts.,260 k ts.,230 k ts.,A,,,,"limitations,performance",0,0,0,,,
14,Type Rating,A330,Landing Gear,Gear & NWS,The red arrow near the landing gear lever illuminates when:,The landing gear is not down locked in landing configuration associated with red ECAM .,The landing gear is not up locked after retraction .,The landing gear is in transit . 4  D) The landing gear is in an abnormal position .,,A,,,,"landinggear,nws",0,0,0,,,
15,Type Rating,A330,Fire Protection,Fire/Smoke,What happens when the DISCH push button on the CARGO Is the SMOKE panel  pressed?,The agent discharges at all four nozzles .,The amber DISCH light illuminates to show which compartment has been selected .,"Both agents are discharged into the selected cargo compartment, and  the White BTL 1 and BTL 2 DISCH lights illuminate when the corresponding  bottle has discharged .",Agent 1 is discharged into the forward compartment and Agent 2 is discharged into the aft compartment .,C,,,,fire,0,0,0,,,
16,Type Rating,A330,Flight Controls,FCS,In the event of pack controller primary channel failure:,The pack is lost .,The secondary channel operates in back up mode and regulation is not optimized .,The pack outlet temperature is controlled at 20°C .,The secondary channel takes over (all functions are normal) .,D,,,,fcs,0,0,0,,,
17,Type Rating,A330,Fuel,Fuel System,"In normal operation, each engine is supplied by:",Three wing tank pumps .,Three wing tank pumps .,Two wing tank pumps and a trim tank transfer pump .,One wing tank pump .,C,,,,fuel,0,0,0,,,
18,Type Rating,A330,Communications,Radio,The comm transceivers fitted are:,"3 VHF, 1 HF .","1 VHF, 2 HF .","2 VHF, 2 HF .","3 VHF, 2 HF .",D,,,,comms,0,0,0,,,
19,Type Rating,A330,Fire Protection,Fire/Smoke,"Engine fire is indicated when: 5  A) Either loop senses a fire condition, and the other loop is faulty .",,Both loops sense a fire condition .,Both ( A) and ( B) are correct .,Either loop senses a fire condition .,C,,,,fire,0,0,0,,,
20,Type Rating,A330,Flight Controls,FCS,With a green and blue hydraulic system failure the flight control law is:,Alternate .,Normal .,Mechanical back -up.,Direct .,A,,,,fcs,0,0,0,,,
21,Type Rating,A330,Fuel,Fuel System,"Besides  the MASTER SW push button on the cockpit APU panel, APU shutdown is possible by:",Switching off the left fuel pumps .,Switching off the right fuel pumps .,Turning off both main batteries .,Pressing the APU SHUT OFF push button  on the external interphone panel under the nose .,D,,,,fuel,0,0,0,,,
